English,繁中,简中,Deutsch,Русский,Français,日本語,한국어,Español,Português,العربية,українська
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Color Vibrance,色彩自然飽和度,色彩自然饱和度,Sättigung,Насыщенность,Vibrance Couleur,彩度,컬러 바이브런스,Intensidad Color,Vibração da cor,حيوية اللون,Насиченiсть
Sharpness,銳利度,锐利度,Schärfe,Резкость,Netteté,シャープネス,선명도,Nitidez,Nitidez,الدقة,Рiзкiсть
Gamma,Gamma,Gamma,Gamma,Гамма,Gamma,ガンマ,Gamma,Gamma,Gama,جاما,Гамма
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Gamma 1,Gamma 1,Gamma 1,Gamma 1,Гамма 1,Gamma 1,ガンマ 1,Gamma 1,Gamma 1,Gama 1,جاما 1,Гамма 1
Gamma 2,Gamma 2,Gamma 2,Gamma 2,Гамма 2,Gamma 2,ガンマ 2,Gamma 2,Gamma 2,Gama 2,جاما 2,Гамма 2
Gamma 3,Gamma 3,Gamma 3,Gamma 3,Гамма 3,Gamma 3,ガンマ 3,Gamma 3,Gamma 3,Gama 3,جاما 3,Гамма 3
Gamma 4,Gamma 4,Gamma 4,Gamma 4,Гамма 4,Gamma 4,ガンマ 4,Gamma 4,Gamma 4,Gama 4,جاما 4,Гамма 4
Gamma 5,Gamma 5,Gamma 5,Gamma 5,Гамма 5,Gamma 5,ガンマ 5,Gamma 5,Gamma 5,Gama 5,جاما 5,Гамма 5
Color Temperature,色溫,色温,Farbtemperatur,Цветовая температура,Température couleur,色温度,색 온도,Temperatura del color,Temperatura da cor,درجة حرارة اللون,Температура кольору
Cool,冷色調,冷色调,Kühl,Холодная,Froid,寒色,차가운 색상,Frio,Fria,بارد,Холодний
Natural,自然色,自然色,Natürlich,Естественный,Naturel,自然,자연스러운,Natural,Natural,طبيعي,Природній
Normal,標準,标准,Normal,Нормальная,Normal,通常,표준,Normal,Normal,عادى,Нормальний
Warm,暖色調,暖色调,Warm,Теплая,Chaud,暖色,따뜻한 색상,Cálido,Quente,دافىء,Теплий
User Define,使用者自訂,用户自定,Benutzerdefiniert,User Define,Défini par l'utilisateur,ユーザー定義,사용자 정의,Definir por el usuario,Definido pelo utilizador,يحددها المستخدم,User Define
R,紅,红,R,Канал R,R,R,R,Rojo,R,أحمر,R
G,綠,绿,G,Канал G,V,G,G,Verde,G,أخضر,G
B,藍,蓝,B,Канал B,B,B,B,Azul,B,أزرق,B
Low Blue Light,低藍光,低蓝光,Blaufilter,Фильтрация синего,Faible lumière bleue,ブルーライト低減,로우 블루라이트,Luz azul de baja intensidad,Luz azul reduzida,ضوء أزرق خفيف,Фільтр синього
DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Reset Picture,回復影像設定,恢复影像设定,Bild zurücksetzen,Сбросить настройки,Réinitialiser image,画像設定リセット,이미지 설정 되돌리기,Restaurar imagen,Repor definições de imagem,إعادة ضبط الصورة,Скинути налаштування
Yes,是,是,Ja,Да,Oui,はい,예,Sí,Sim,نعم,Так
No,否,否,Nein,Нет,Non,いいえ,아니요,No,Não,لا,Ні
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Баланс чорного
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Overdrive,反應時間,反应时间,Übersteuern,Увеличить масштаб,Surmultiplication,オーバードライブ,오버드라이브,Sobrecarga,Tempo de resposta,زمن الاستجابة للحركة,Overdrive
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Smart OD,智慧OD,智能OD,Intelligente OD,Режим Smart OD,Smart OD,スマートOD,스마트 오버드라이브,OD inteligente,OD inteligente,زمن الاستجابة الذكى,Smart OD
Picture quality,,,,,,,,,,,
Balance,平衡,平衡,Balance,Баланс,Balance,バランス,밸런스,Balance,Equilíbrio,التوازن,Баланс
Speed,速度優先,速度优先,Geschwindigkeit,Скорость,Vitesse,速度優先,속도 ,Velocidad,Velocidade,السرعة,Швидкість
Super Resolution,超級解析度,超级分辨率,Hohe Auflösung,Сверхвысокое разрешение ,Super résolution,超解像度,초고해상도,Súper resolución,Super resolução,وضوح فائق,Super Resolution
Custom,使用者模式,用户模式,Benutzerdefiniert,Режим,Personnalisé,カスタム,사용자 모드,Personalizado,Personalizado,تخصيص,Режим
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Color Vibrance,色彩自然飽和度,色彩自然饱和度,Sättigung,Насыщенность,Vibrance Couleur,彩度,컬러 바이브런스,Intensidad Color,Vibração da cor,حيوية اللون,Насиченiсть
Sharpness,銳利度,锐利度,Schärfe,Резкость,Netteté,シャープネス,선명도,Nitidez,Nitidez,الدقة,Рiзкiсть
Gamma,Gamma,Gamma,Gamma,Гамма,Gamma,ガンマ,Gamma,Gamma,Gama,جاما,Гамма
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Gamma 1,Gamma 1,Gamma 1,Gamma 1,Гамма 1,Gamma 1,ガンマ 1,Gamma 1,Gamma 1,Gama 1,جاما 1,Гамма 1
Gamma 2,Gamma 2,Gamma 2,Gamma 2,Гамма 2,Gamma 2,ガンマ 2,Gamma 2,Gamma 2,Gama 2,جاما 2,Гамма 2
Gamma 3,Gamma 3,Gamma 3,Gamma 3,Гамма 3,Gamma 3,ガンマ 3,Gamma 3,Gamma 3,Gama 3,جاما 3,Гамма 3
Gamma 4,Gamma 4,Gamma 4,Gamma 4,Гамма 4,Gamma 4,ガンマ 4,Gamma 4,Gamma 4,Gama 4,جاما 4,Гамма 4
Gamma 5,Gamma 5,Gamma 5,Gamma 5,Гамма 5,Gamma 5,ガンマ 5,Gamma 5,Gamma 5,Gama 5,جاما 5,Гамма 5
Color Temperature,色溫,色温,Farbtemperatur,Цветовая температура,Température couleur,色温度,색 온도,Temperatura del color,Temperatura da cor,درجة حرارة اللون,Температура кольору
Cool,冷色調,冷色调,Kühl,Холодная,Froid,寒色,차가운 색상,Frio,Fria,بارد,Холодний
Natural,自然色,自然色,Natürlich,Естественный,Naturel,自然,자연스러운,Natural,Natural,طبيعي,Природній
Normal,標準,标准,Normal,Нормальная,Normal,通常,표준,Normal,Normal,عادى,Нормальний
Warm,暖色調,暖色调,Warm,Теплая,Chaud,暖色,따뜻한 색상,Cálido,Quente,دافىء,Теплий
User Define,使用者自訂,用户自定,Benutzerdefiniert,User Define,Défini par l'utilisateur,ユーザー定義,사용자 정의,Definir por el usuario,Definido pelo utilizador,يحددها المستخدم,User Define
R,紅,红,R,Канал R,R,R,R,Rojo,R,أحمر,R
G,綠,绿,G,Канал G,V,G,G,Verde,G,أخضر,G
B,藍,蓝,B,Канал B,B,B,B,Azul,B,أزرق,B
Low Blue Light,低藍光,低蓝光,Blaufilter,Фильтрация синего,Faible lumière bleue,ブルーライト低減,로우 블루라이트,Luz azul de baja intensidad,Luz azul reduzida,ضوء أزرق خفيف,Фільтр синього
DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Reset Picture,回復影像設定,恢复影像设定,Bild zurücksetzen,Сбросить настройки,Réinitialiser image,画像設定リセット,이미지 설정 되돌리기,Restaurar imagen,Repor definições de imagem,إعادة ضبط الصورة,Скинути налаштування
Yes,是,是,Ja,Да,Oui,はい,예,Sí,Sim,نعم,Так
No,否,否,Nein,Нет,Non,いいえ,아니요,No,Não,لا,Ні
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Баланс чорного
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Overdrive,反應時間,反应时间,Übersteuern,Увеличить масштаб,Surmultiplication,オーバードライブ,오버드라이브,Sobrecarga,Tempo de resposta,زمن الاستجابة للحركة,Overdrive
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Smart OD,智慧OD,智能OD,Intelligente OD,Режим Smart OD,Smart OD,スマートOD,스마트 오버드라이브,OD inteligente,OD inteligente,زمن الاستجابة الذكى,Smart OD
Picture quality,,,,,,,,,,,
Balance,平衡,平衡,Balance,Баланс,Balance,バランス,밸런스,Balance,Equilíbrio,التوازن,Баланс
Speed,速度優先,速度优先,Geschwindigkeit,Скорость,Vitesse,速度優先,속도 ,Velocidad,Velocidade,السرعة,Швидкість
Super Resolution,超級解析度,超级分辨率,Hohe Auflösung,Сверхвысокое разрешение ,Super résolution,超解像度,초고해상도,Súper resolución,Super resolução,وضوح فائق,Super Resolution
ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO,ECO
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Color Vibrance,色彩自然飽和度,色彩自然饱和度,Sättigung,Насыщенность,Vibrance Couleur,彩度,컬러 바이브런스,Intensidad Color,Vibração da cor,حيوية اللون,Насиченiсть
Sharpness,銳利度,锐利度,Schärfe,Резкость,Netteté,シャープネス,선명도,Nitidez,Nitidez,الدقة,Рiзкiсть
Gamma,Gamma,Gamma,Gamma,Гамма,Gamma,ガンマ,Gamma,Gamma,Gama,جاما,Гамма
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Gamma 1,Gamma 1,Gamma 1,Gamma 1,Гамма 1,Gamma 1,ガンマ 1,Gamma 1,Gamma 1,Gama 1,جاما 1,Гамма 1
Gamma 2,Gamma 2,Gamma 2,Gamma 2,Гамма 2,Gamma 2,ガンマ 2,Gamma 2,Gamma 2,Gama 2,جاما 2,Гамма 2
Gamma 3,Gamma 3,Gamma 3,Gamma 3,Гамма 3,Gamma 3,ガンマ 3,Gamma 3,Gamma 3,Gama 3,جاما 3,Гамма 3
Gamma 4,Gamma 4,Gamma 4,Gamma 4,Гамма 4,Gamma 4,ガンマ 4,Gamma 4,Gamma 4,Gama 4,جاما 4,Гамма 4
Gamma 5,Gamma 5,Gamma 5,Gamma 5,Гамма 5,Gamma 5,ガンマ 5,Gamma 5,Gamma 5,Gama 5,جاما 5,Гамма 5
Color Temperature,色溫,色温,Farbtemperatur,Цветовая температура,Température couleur,色温度,색 온도,Temperatura del color,Temperatura da cor,درجة حرارة اللون,Температура кольору
Cool,冷色調,冷色调,Kühl,Холодная,Froid,寒色,차가운 색상,Frio,Fria,بارد,Холодний
Natural,自然色,自然色,Natürlich,Естественный,Naturel,自然,자연스러운,Natural,Natural,طبيعي,Природній
Normal,標準,标准,Normal,Нормальная,Normal,通常,표준,Normal,Normal,عادى,Нормальний
Warm,暖色調,暖色调,Warm,Теплая,Chaud,暖色,따뜻한 색상,Cálido,Quente,دافىء,Теплий
User Define,使用者自訂,用户自定,Benutzerdefiniert,User Define,Défini par l'utilisateur,ユーザー定義,사용자 정의,Definir por el usuario,Definido pelo utilizador,يحددها المستخدم,User Define
R,紅,红,R,Канал R,R,R,R,Rojo,R,أحمر,R
G,綠,绿,G,Канал G,V,G,G,Verde,G,أخضر,G
B,藍,蓝,B,Канал B,B,B,B,Azul,B,أزرق,B
Low Blue Light,低藍光,低蓝光,Blaufilter,Фильтрация синего,Faible lumière bleue,ブルーライト低減,로우 블루라이트,Luz azul de baja intensidad,Luz azul reduzida,ضوء أزرق خفيف,Фільтр синього
DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR,DCR
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Reset Picture,回復影像設定,恢复影像设定,Bild zurücksetzen,Сбросить настройки,Réinitialiser image,画像設定リセット,이미지 설정 되돌리기,Restaurar imagen,Repor definições de imagem,إعادة ضبط الصورة,Скинути налаштування
Yes,是,是,Ja,Да,Oui,はい,예,Sí,Sim,نعم,Так
No,否,否,Nein,Нет,Non,いいえ,아니요,No,Não,لا,Ні
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Баланс чорного
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Overdrive,反應時間,反应时间,Übersteuern,Увеличить масштаб,Surmultiplication,オーバードライブ,오버드라이브,Sobrecarga,Tempo de resposta,زمن الاستجابة للحركة,Overdrive
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
Smart OD,智慧OD,智能OD,Intelligente OD,Режим Smart OD,Smart OD,スマートOD,스마트 오버드라이브,OD inteligente,OD inteligente,زمن الاستجابة الذكى,Smart OD
Picture quality,,,,,,,,,,,
Balance,平衡,平衡,Balance,Баланс,Balance,バランス,밸런스,Balance,Equilíbrio,التوازن,Баланс
Speed,速度優先,速度优先,Geschwindigkeit,Скорость,Vitesse,速度優先,속도 ,Velocidad,Velocidade,السرعة,Швидкість
Super Resolution,超級解析度,超级分辨率,Hohe Auflösung,Сверхвысокое разрешение ,Super résolution,超解像度,초고해상도,Súper resolución,Super resolução,وضوح فائق,Super Resolution
Display,顯示功能,显示功能,Display,Режим дисплея,Affichage,ディスプレイ,디스플레이,Monitor,Exibição,العرض,Режим дисплею
Input,輸入選擇,输入选择,Eingang,Входной сигнал,Entrée,入力,입력,Entrada,Entrada,الدخل,Вхід
HDMI 1,HDMI 1,HDMI 1,HDMI1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1,HDMI 1
HDMI 2,HDMI 2,HDMI 2,HDMI2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2,HDMI 2
DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort,DisplayPort
Overclock,超頻模式,超频模式,Übertakten,Режим Overclock,Overclock,オーバークロックモード,오버클럭,Overclock,Overclock,كسر السرعة,Розгін
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
RGB Range,RGB 訊號範圍,RGB 信号范围,RGB Bereich,Диапазон RGB,Plage RVB ,RGB レンジ,RGB 신호 범위,Rango del RGB ,Gama RGB,نطاق ألوان RGB,Діапазон RGB
Auto detect,自動偵測,自动检测,Auto-Erkennung,Автоопределение,Détection automatique,自動検知,자동 검색,Detector automático,Detetar automaticamente,رصد تلقائى,Автовизначення
RGB (0 ~ 255),RGB (0 ~ 255),RGB (0 ~ 255),RGB (0 ~ 255),RGB (0 ~ 255),RVB (0 ~ 255),RGB (0 ~ 255),RGB (0 ~ 255),RGB (0 ~ 255),RGB (0 ~ 255),RGB (من 0 إلى 255),RGB (0 ~ 255)
RGB (16 ~ 235),RGB (16 ~ 235),RGB (16 ~ 235),RGB (16 ~ 235),RGB (16 ~ 235),RVB (16 ~ 235),RGB (16 ~ 235),RGB (16 ~ 235),RGB (16 ~ 235),RGB (16 ~ 235),RGB (من 16 إلى 235),RGB (16 ~ 235)
Overscan,Overscan,Overscan,Overscan,Увеличить масштаб,Surbalayage,オーバースキャン,오버스캔,Overscan,Overscan,تجاوز إطار الشاشة,Overscan
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
System,系統功能,系统功能,System,Система,Système,システム,시스템,Sistema,Sistema,النظام,Система
Audio,音訊,音讯,Audio,аудио,Audio,音源,오디오 소스,Audio,áudio,الصوت,Аудіо
Volume,音量,音量,Lautstärke,Громкость,Volume,音量,음량,Volumen,Volume,مستوى الصوت,Гучність
Mute,靜音,静音,Mute,Без звука,Muet,ミュート,음소거,Modo silencio,Silencioso,صامت,Без звуку
ON,開啟,开启,Ein,ВКЛ.,MARCHE,オン,ON,Encendido,ATIVADO,تشغيل,Увімкнено
OFF,關閉,关闭,Aus,ВЫКЛ.,ARRÊT,オフ,OFF,Apagado,DESATIVADO,إغلاق,Вимкнено
OSD Settings,OSD設定,OSD设定,OSD Einstellungen,Настройки экранного меню,Réglages OSD,OSD設定,OSD 설정,Configuración de OSD,Definições do OSD,إعدادات OSD,Налаштування меню
Display Time,顯示時間,显示时间,Anzeigedauer,Отображать на дисплее,Durée d'affichage,表示時間,디스플레이 시간,Mostrar tiempo,Tempo de exibição,وقت العرض,Час вiдображеня 
5 Sec.,5秒,5秒,5 Sek.,5 с,5 s,5秒,5 초,5 Segundos,5 s,5 ثوان,5 сек.
10 Sec.,10秒,10秒,10 Sek.,10 с,10 s,10秒,10 초,10 Segundos,10 s,10 ثوان,10 сек.
15 Sec.,15秒,15秒,15 Sek.,15 с,15 s,15秒,15 초,15 Segundos,15 s,15 ثانية,15 сек.
20 Sec.,20秒,20秒,20 Sek.,20 с,20 s,20秒,20 초,20 Segundos,20 s,20 ثانية,20 сек.
25 Sec.,25秒,25秒,25 Sek.,25 с,25 s,25秒,25 초,25 Segundos,25 s,25 ثانية,25 сек.
30 Sec.,30秒,30秒,30 Sek.,30 с,30 s,30秒,30 초,30 Segundos,30 s,30 ثانية,30 сек.
OSD Transparency,OSD透明度,OSD透明度,OSD Transparenz,Прозрачность,Transparence OSD,OSD透明度,OSD 투명도,Transparencia OSD,Transparência do OSD,شفافية OSD,Прозорiсть
0,,,,,,,,,,,
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
OSD Lock,鎖定OSD,锁定OSD,OSD Sperre,Блокировка экранного меню,Verrou OSD,OSDロック,OSD 잠금,Bloqueo OSD,Bloquear OSD,قفل OSD,Блокування меню
Quick Switch,快速鍵設定,快速键设定,Quick Switch,Быстрое переключение,Commutateur rapide,クイック切替,퀵스위치,Interruptor rápido,Troca rápida,تبديل سريع,Швидке перемикання
Up,上,上,hoch,Вверх,Haut,上,위,Arriba,Cima,أعلى,Вгору
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Баланс чорного
Crosshair,準心輔助,准心辅助,Fadenkreuz,Прицел,Viseur,照準線,크로스헤어,Punto de mira,Mira,نقطة التقاطع,Прицiл
Low Blue Light,低藍光,低蓝光,Blaufilter,Фильтрация синего,Faible lumière bleue,ブルーライト低減,로우 블루라이트,Luz azul de baja intensidad,Luz azul reduzida,ضوء أزرق خفيف,Фільтр синього
Volume,音量,音量,Lautstärke,Громкость,Volume,音量,음량,Volumen,Volume,مستوى الصوت,Гучність
Input,輸入選擇,输入选择,Eingang,Входной сигнал,Entrée,入力,입력,Entrada,Entrada,الدخل,Вхід
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Picture Mode,影像模式,影像模式,Bildmodus,Графика,Mode d’image,画像モード,시진모드,Modo imagen,Modo de Imagem,وضع الصورة,Режим зображення
Down,下,下,runter,Вниз,Bas,下,아래,Abajo,Baixo,أسفل,Вниз
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Баланс чорного
Crosshair,準心輔助,准心辅助,Fadenkreuz,Прицел,Viseur,照準線,크로스헤어,Punto de mira,Mira,نقطة التقاطع,Прицiл
Low Blue Light,低藍光,低蓝光,Blaufilter,Фильтрация синего,Faible lumière bleue,ブルーライト低減,로우 블루라이트,Luz azul de baja intensidad,Luz azul reduzida,ضوء أزرق خفيف,Фільтр синього
Volume,音量,音量,Lautstärke,Громкость,Volume,音量,음량,Volumen,Volume,مستوى الصوت,Гучність
Input,輸入選擇,输入选择,Eingang,Входной сигнал,Entrée,入力,입력,Entrada,Entrada,الدخل,Вхід
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Picture Mode,影像模式,影像模式,Bildmodus,Графический режим,Mode d’image,画像モード,사진모드,Modo imagen,Modo de imagem,وضع الصورة,Режим зображення
Right,右,右,rechts,Вправо,Droite,右,오른쪽,Derecha,Direita,يمين,Вправо
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Баланс чорного
Crosshair,準心輔助,准心辅助,Fadenkreuz,Прицел,Viseur,照準線,크로스헤어,Punto de mira,Mira,نقطة التقاطع,Прицiл
Low Blue Light,低藍光,低蓝光,Blaufilter,Фильтрация синего,Faible lumière bleue,ブルーライト低減,로우 블루라이트,Luz azul de baja intensidad,Luz azul reduzida,ضوء أزرق خفيف,Фільтр синього
Volume,音量,音量,Lautstärke,Громкость,Volume,音量,음량,Volumen,Volume,مستوى الصوت,Гучність
Input,輸入選擇,输入选择,Eingang,Входной сигнал,Entrée,入力,입력,Entrada,Entrada,الدخل,Вхід
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Picture Mode,影像模式,影像模式,Bildmodus,Графика,Mode d’image,画像モード,시진모드,Modo imagen,Modo de Imagem,وضع الصورة,Режим зображення
Left,左,左,links,Влево,Gauche,左,왼쪽,Izquierda,Esquerda,يسار,Вліво
Aim Stabilizer Sync,穩定瞄準功能Sync,稳定瞄准功能Sync,Zielstabilisator Sync,Aim Stabilizer Sync,Stabilisateur visée Sync,照準安定器Sync,에임 스테빌라이저 Sync,Aim Stabilizer Sync,Aim Stabilizer Sync,مثبت التصويب Sync,Aim Stabilizer Sync
Black Equalizer,黑平衡,黑平衡,Schwarzausgleich,Баланс черного,Égaliseur de noir,Black Equalizer,블랙 이퀄라이저,Ecualizador negro,Black Equalizer,إزالة الظل,Баланс чорного
Crosshair,準心輔助,准心辅助,Fadenkreuz,Прицел,Viseur,照準線,크로스헤어,Punto de mira,Mira,نقطة التقاطع,Прицiл
Low Blue Light,低藍光,低蓝光,Blaufilter,Фильтрация синего,Faible lumière bleue,ブルーライト低減,로우 블루라이트,Luz azul de baja intensidad,Luz azul reduzida,ضوء أزرق خفيف,Фільтр синього
Volume,音量,音量,Lautstärke,Громкость,Volume,音量,음량,Volumen,Volume,مستوى الصوت,Гучність
Input,輸入選擇,输入选择,Eingang,Входной сигнал,Entrée,入力,입력,Entrada,Entrada,الدخل,Вхід
Contrast,對比,对比,Kontrast,Контрастность,Contraste,コントラスト,대비,Contraste,Contraste,التباين,Контраст
Brightness,亮度,亮度,Helligkeit,Яркость,Luminosité,輝度,밝기,Brillo,Brilho,السطوع,Яскравість
Picture Mode,影像模式,影像模式,Bildmodus,Графика,Mode d’image,画像モード,시진모드,Modo imagen,Modo de Imagem,وضع الصورة,Режим зображення
Other Settings,其它設定,其它设定,Weitere Einstellungen,Другие настройки,Autres réglages,その他設定,기타 설정,Otros ajustes,Outras definições,إعدادات أخرى,Інші налаштування
